n_points,r2,mse,mae,mape
38,0.7917749754724004,0.003345140032205176,0.04177035450023807,0.3241459337384106
39,0.7936868967188528,0.0033144249713500185,0.04128482073560343,0.32038275413759343
40,0.7936966400450544,0.003314268444580014,0.04105773264649636,0.316748878084447
41,0.8701820350731706,0.0020855287320116728,0.029628877780150786,0.22912837891190305
42,0.8721078802872868,0.002054589982280769,0.030046540307270917,0.2458875899448216
43,0.8704283292698036,0.002081572009813052,0.029975410336366314,0.24695131369535822
44,0.8765442752409829,0.0019833191905401994,0.029405529161658072,0.2279788236918181
45,0.869721125840091,0.002092933249937823,0.030118221465239535,0.23433710150007786
46,0.8652731135711581,0.0021643906741273694,0.03029377498713253,0.23687554269679914
47,0.8629834329602281,0.0022011744482676896,0.030471072074811076,0.23865742036285428
48,0.8605036725229035,0.0022410118593953502,0.030252248612319586,0.2375550573957049
49,0.8717223553584903,0.0020607834495436793,0.02930147125470025,0.22977007596807528
50,0.8650063055242356,0.0021686769518247766,0.029031308141272142,0.22760165775071162
51,0.8628102326035844,0.0022039569161670957,0.029225997484240113,0.229607856587908
52,0.8955505444392,0.001677983018281051,0.024283097516805376,0.18438624852241534
53,0.8968258013756958,0.001657495984893506,0.02406656660812004,0.1924802501213578
54,0.8969796582494681,0.0016550242705121374,0.024030951379618602,0.19181878634415253
55,0.9018537795304243,0.0015767213947855522,0.02304967938420914,0.17989634285356831
56,0.9028007755804665,0.0015615078804420055,0.02287015934781281,0.17686186110301486
57,0.9011049473114039,0.0015887514024127965,0.02274282545400847,0.1652845161976555
58,0.9007316698610073,0.001594748113640346,0.02278725629395666,0.1659058279109259
59,0.9002605599309562,0.0016023165060089313,0.02274977864152721,0.16545451067215416
60,0.9009635096496548,0.0015910236018540113,0.02263809295252265,0.1643393958700801
61,0.9014274354803111,0.0015835706222151644,0.022542982191482003,0.16346232933915525
62,0.9000321935168848,0.0016059852179490758,0.022854791887399282,0.16531909900593808
63,0.8996673090666644,0.001611847095426726,0.02290449039861151,0.16637325596403668
64,0.9024866584696698,0.001566554179389551,0.022056204641796598,0.1533524525615262
65,0.9026267633607545,0.0015643033909411477,0.022011000220802865,0.1523581577814415
66,0.9070624413593456,0.0014930441171016008,0.02081547228021834,0.12770013652196288
67,0.9061229805737007,0.0015081365772411897,0.021294964695912293,0.13491471980407685
68,0.9048472081991664,0.0015286318911532327,0.021577090180984325,0.1351889625981231
69,0.9057392960228466,0.0015143004787881444,0.021216976345719136,0.13271053204825636
70,0.9072074133342135,0.0014907151388350412,0.02114330424513624,0.13719971734153558
71,0.9102796827423427,0.001441359056826319,0.021162870864875935,0.1414765481433939
72,0.9142034700796446,0.0013783233187845234,0.021059827509325592,0.13913100273370058
73,0.9127929595194645,0.0014009832048928876,0.019863469968737592,0.11455575143357037
74,0.9192389305917086,0.0012974285244258335,0.019449212580170152,0.11849439890696527
75,0.913981689941306,0.001381886222046451,0.019507726513910213,0.10912313204322806
76,0.9141693182981314,0.0013788719679767626,0.019432951426386926,0.10793412497430839
77,0.9138953288352126,0.0013832736152950484,0.01939691907836475,0.10794473742792499
78,0.914047425574501,0.0013808301775165405,0.019392248534048143,0.10795507369450844
79,0.9143036320647403,0.0013767142140824887,0.01938252509589897,0.10805544858378183
80,0.9146938784413963,0.0013704448966460438,0.01922405002867976,0.10715770729191437
81,0.9136341596775472,0.001387469304100781,0.019812801358102903,0.11177338093978295
82,0.9145998621938174,0.0013719552699269087,0.019496922756359256,0.112449325165371
83,0.9201353900955653,0.0012830268809134577,0.018912842496736495,0.11633974866099106
84,0.9194177679010533,0.0012945554987455702,0.018971099855628597,0.11653587986333515
85,0.9196933094458078,0.0012901289171952264,0.018982884919739616,0.11722834912793781
86,0.9199858265327009,0.0012854296231517277,0.018779005897440807,0.11473566472770066
87,0.9197090065160906,0.001289876743383216,0.018653651833312777,0.11438848778245629
88,0.9200013863690172,0.001285179654006691,0.01853463967172994,0.11253970333668142
89,0.9193813498919114,0.0012951405549392245,0.01709438469956096,0.08870330217655704
90,0.920696866822454,0.0012740067437780295,0.018221262116410453,0.10980303594027128
91,0.9204271285318372,0.0012783400959109354,0.01654442639770267,0.08496539788475566
92,0.9202922269436188,0.0012805072931735184,0.016544655143591956,0.08515577705777143
93,0.9205543613086893,0.0012762960982875833,0.01645421458894027,0.08485972924885488
94,0.9223650071533128,0.0012472080292010887,0.016120253372087313,0.0848984793824071
95,0.9224244198845107,0.001246253562243989,0.01601915886009754,0.0840496448732464
96,0.9223062213789149,0.0012481524240821012,0.015949994253384676,0.0836654353049311
97,0.922350761819323,0.0012474368808346025,0.01587108762677754,0.08352268385970524
98,0.9223310855178686,0.001247752981091187,0.01585963623209913,0.08402221539298503
99,0.9262544950198766,0.001184723312982485,0.014356857000371393,0.07035867062842763
100,0.9262405106756434,0.001184947971809275,0.014366180391679296,0.07083103084840552
101,0.9261959141887184,0.001185664415445418,0.014410771440263367,0.07148175803857458
102,0.9264997500084912,0.0011807832856856988,0.014315280557076841,0.07069963343243692
103,0.9165397504308314,0.0013407909186950561,0.017683282522011064,0.0990999004030949
104,0.9168541334900029,0.0013357403472804635,0.017653961765994642,0.09911631235071441
105,0.9207474999588743,0.001273193321222408,0.01715535376919146,0.09674556546986002
106,0.920899319369995,0.0012707543387275907,0.017129107675982767,0.09673154174194977
107,0.9025144233677992,0.0015661081356326424,0.022048058105114385,0.14618450749020945
108,0.9033828260199878,0.0015521572261178063,0.021763670424068984,0.14361061701083772
109,0.902368608559138,0.0015684506540443826,0.02179844454446775,0.1436898526888196
110,0.9021328075368847,0.0015722388031439623,0.021852215113645917,0.144924913500432
