n_points,r2,mse,mae,mape
11,0.5116837957124724,0.007844811578447795,0.06031744538122643,0.4427854416926071
12,0.4988125955745254,0.00805158771854744,0.060243441244012964,0.41493702362953233
13,0.5039855589049143,0.00796848393810188,0.06383735629292166,0.5363600272323809
14,0.5235563501353411,0.007654078705804004,0.06300730992548763,0.5339701336827912
15,0.5448295868763624,0.007312323645390811,0.06211915170205788,0.5294658744467892
16,0.42083527239061713,0.009304295292857838,0.07256035081717226,0.6224094719734828
17,0.6519333222236858,0.00559169955843554,0.056739118713159196,0.48516747995636045
18,0.6621631022709904,0.005427357895686179,0.056441983693274404,0.4839560311844014
19,0.662308033480671,0.0054250295723133335,0.056555401998132686,0.48690191118132037
20,0.7514468957940302,0.0039930116031661154,0.04704168354188412,0.3761146293428513
21,0.7617877519716594,0.0038268854997088506,0.04635114055562042,0.3659825030519451
22,0.772579658287472,0.003653513264922308,0.04541051778096717,0.35985501101562045
23,0.7742177211344762,0.003627197745847627,0.04521292225793166,0.35889623339395615
24,0.7773150098778604,0.003577439727615676,0.04501360270267667,0.3544198824840614
25,0.7739975181353727,0.0036307353123297735,0.04480230620500132,0.3503613607224867
26,0.7742312246930019,0.003626980810854805,0.04464579576300651,0.35069608523592205
27,0.7767249688092384,0.003586918751588757,0.04401652036179973,0.33937297020798907
28,0.7761466864985833,0.0035962088708319986,0.04389924822752373,0.3372763043718132
29,0.7994123452977833,0.003222445502085153,0.04108539569336885,0.3025412450219216
30,0.8017385013640468,0.003185075748876727,0.040643667383816535,0.29670365485646755
31,0.8030312657731009,0.0031643074575210253,0.04050485005872815,0.2964603243417171
32,0.6797525099357531,0.0051447836380739504,0.04633877359440226,0.25347167637198204
33,0.6821745174050668,0.00510587402976783,0.046097167928604986,0.2495170451009059
34,0.6753187277460733,0.0052160124556976965,0.046627223141533884,0.25379239574613954
35,0.7017186011276357,0.004791897854226696,0.045904832066085824,0.2602838777473705
36,0.7016304269578081,0.004793314374387834,0.045902556227851055,0.2601631913513497
37,0.6967800622121969,0.004871235600802146,0.04618032742349959,0.26034257953833223
38,0.7006988945264638,0.0048082794653247,0.04465036080001065,0.24837163909135193
39,0.652950555478524,0.0055753576817059326,0.04761329945757448,0.2830956657401077
40,0.6998958740466703,0.004821180008665889,0.04419821967851358,0.24231564705359093
41,0.7104228688573542,0.004652063583587176,0.04458107602080259,0.25881539576293594
42,0.7066667652878419,0.004712405477862323,0.04478394923844628,0.2599937938922447
43,0.68265590519116,0.005098140523394481,0.04559699348970818,0.25347209350078054
44,0.7303225545312371,0.004332374654136806,0.04555999661576353,0.2800091755320738
45,0.7418732712561376,0.004146812111859353,0.043398949141823955,0.2505378437196233
46,0.7498697216706364,0.004018348943430054,0.041183590769045875,0.22181739217451577
47,0.7351377103222008,0.004255019060426587,0.04132603157412285,0.21815842757168494
48,0.7452290126871772,0.0040929020449777765,0.04141972700248404,0.22721990842631704
49,0.7444915481436998,0.00410474943062374,0.043177920787101115,0.2551262059386864
